id;ident;iata;name;latitude_deg;longitude_deg
618;EKRN;RNN;Bornholm Airport;55.06330109;14.75959969
619;EKSB;SGD;Sonderborg Airport;54.96440125;9.791729927
621;EKSP;SKS;Skrydstrup Air Base;55.221048;9.26702
622;EKSV;SQW;Skive Airport;56.55020142;9.172980309
623;EKTS;TED;Thisted Airport;57.06880188;8.705220222
625;EKVG;FAE;Vagar Airport;62.06359863;-7.277219772
627;EKVJ;STA;Stauning Airport;55.99010086;8.353910446
628;EKYT;AAL;Aalborg Airport;57.09275891;9.849243164
629;ELLX;LUX;Luxembourg-Findel International Airport;49.6233333;6.2044444
630;ENAL;AES;alesund Airport;62.5625;6.119699955
631;ENAN;ANX;Andoya Airport;69.29250336;16.14419937
632;ENAT;ALF;Alta Airport;69.97609711;23.37170029
634;ENBN;BNN;Bronnoysund Airport;65.46109772;12.21749973
635;ENBO;BOO;Bodo Airport;67.26920319;14.36530018
636;ENBR;BGO;Bergen Airport Flesland;60.29339981;5.218140125
637;ENBS;BJF;Batsfjord Airport;70.60050201;29.69140053
638;ENCN;KRS;Kristiansand Airport;58.204201;8.08537
639;ENDI;DLD;Geilo Airport Dagali;60.41730118;8.518349648
640;ENDU;BDU;Bardufoss Airport;69.05580139;18.54039955
641;ENEV;EVE;Harstad/Narvik Airport, Evenes;68.49130249;16.67810059
642;ENFG;VDB;Leirin Airport;61.0155983;9.288060188
643;ENFL;FRO;Floro Airport;61.58359909;5.024720192
644;ENGM;OSL;Oslo Lufthavn;60.121;11.0502
645;ENHD;HAU;Haugesund Airport;59.34529877;5.208360195
646;ENHK;HAA;Hasvik Airport;70.48670197;22.13969994
647;ENKB;KSU;Kristiansund Airport (Kvernberget);63.11180115;7.824520111
649;ENKR;KKN;Kirkenes Airport (Hoybuktmoen);69.72579956;29.8913002
650;ENLI;FAN;Lista Airport;58.09949875;6.626049995
651;ENML;MOL;Molde Airport;62.74470139;7.262499809
652;ENMS;MJF;Mosjoen Airport (Kjorstad);65.78399658;13.21490002
653;ENNA;LKL;Banak Airport;70.06880188;24.9734993
654;ENNO;NTB;Notodden Airport;59.565701;9.21222
655;ENOL;OLA;orland Airport;63.69889832;9.604000092
656;ENRO;RRS;Roros Airport;62.57839966;11.34230042
657;ENRY;RYG;Moss Airport, Rygge;59.378817;10.785439
658;ENSB;LYR;Svalbard Airport, Longyear;78.24610138;15.46560001
659;ENSN;SKE;Skien Airport;59.18500137;9.566940308
660;ENSO;SRP;Stord Airport;59.79190063;5.340849876
662;ENST;SSJ;Sandnessjoen Airport (Stokka);65.95680237;12.46889973
663;ENTC;TOS;Tromso Airport,;69.6832962;18.91889954
664;ENTO;TRF;Sandefjord Airport, Torp;59.18669891;10.25860024
665;ENVA;TRD;Trondheim Airport Vornes;63.4578018;10.9239998
666;ENZV;SVG;Stavanger Airport Sola;58.87670135;5.63778019
668;EPGD;GDN;Gdansk Lech Walisa Airport;54.37760162;18.46619987
669;EPKK;KRK;Krakow John Paul II International Airport;50.077702;19.7848
671;EPKT;KTW;Katowice International Airport;50.4743;19.08
674;EPPO;POZ;Poznan-Lawica Airport;52.42100143;16.82629967
675;EPRZ;RZE;Rzeszow-Jasionka Airport;50.11000061;22.0189991
676;EPSC;SZZ;"Szczecin-Goleniow ""Solidarnosc"" Airport";53.58470154;14.90219975
677;EPSK;OSP;Redzikowo Air Base;54.47890091;17.10750008
679;EPWA;WAW;Warsaw Chopin Airport;52.16569901;20.96710014
680;EPWR;WRO;Copernicus WrocLaw Airport;51.10269928;16.88579941
681;EPZG;IEG;Zielona Gora-Babimost Airport;52.13850021;15.7986002
685;ESDF;RNB;Ronneby Airport;56.26670074;15.26500034
687;ESGG;GOT;Gothenburg-Landvetter Airport;57.66279984;12.27980042
688;ESGJ;JKG;Jonkoping Airport;57.75759888;14.06869984
690;ESGL;LDK;Lidkoping-Hovby Airport;58.4655;13.1744
691;ESGP;GSE;Gothenburg City Airport;57.7747;11.8704
692;ESGR;KVB;Skovde Airport;58.45640182;13.97270012
693;ESGT;THN;Trollhattan-Vanersborg Airport;58.31809998;12.34500027
697;ESKK;KSK;Karlskoga Airport;59.34590149;14.49590015
698;ESKM;MXX;Mora Airport;60.957901;14.5114
699;ESKN;NYO;Stockholm Skavsta Airport;58.78860092;16.91220093
703;ESMK;KID;Kristianstad Airport;55.92169952;14.08549976
705;ESMO;OSK;Oskarshamn Airport;57.350498;16.497999
707;ESMQ;KLR;Kalmar Airport;56.6855011;16.28759956
708;ESMS;MMX;Malmo Sturup Airport;55.53630536;13.37619781
709;ESMT;HAD;Halmstad Airport;56.69110107;12.82019997
711;ESMX;VXO;Vaxjo Kronoberg Airport;56.92910004;14.72799969
714;ESND;EVG;Sveg Airport;62.04779816;14.4229002
715;ESNG;GEV;Gallivare Airport;67.13240051;20.81459999
716;ESNH;HUV;Hudiksvall Airport;61.76810074;17.08069992
718;ESNK;KRF;Kramfors Solleftea Airport;63.04859924;17.76889992
719;ESNL;LYC;Lycksele Airport;64.5483017;18.71619987
721;ESNN;SDL;Sundsvall-Harnosand Airport;62.52809906;17.44389915
722;ESNO;OER;ornskoldsvik Airport;63.40829849;18.98999977
724;ESNQ;KRN;Kiruna Airport;67.8219986;20.33679962
726;ESNS;SFT;Skelleftea Airport;64.62480164;21.07690048
728;ESNU;UME;Umea Airport;63.79180145;20.28280067
729;ESNV;VHM;Vilhelmina Airport;64.57910156;16.83359909
730;ESNX;AJR;Arvidsjaur Airport;65.59030151;19.28190041
731;ESOE;ORB;orebro Airport;59.22370148;15.03800011
733;ESOW;VST;Stockholm Vasteras Airport;59.58940125;16.63360023
734;ESPA;LLA;Lulea Airport;65.54380035;22.12199974
737;ESSA;ARN;Stockholm-Arlanda Airport;59.65190125;17.91860008
738;ESSB;BMA;Stockholm-Bromma Airport;59.35440063;17.94169998
739;ESSD;BLE;Borlange Airport;60.42200089;15.51519966
740;ESSF;HLF;Hultsfred Airport;57.525799;15.8233
741;ESSK;GVX;Gavle Sandviken Airport;60.59329987;16.95140076
742;ESSL;LPI;Linkoping City Airport;58.40620041;15.68050003
743;ESSP;NRK;Norrkoping Airport;58.5862999;16.25060081
745;ESSU;EKT;Eskilstuna Airport;59.35110092;16.70840073
746;ESSV;VBY;Visby Airport;57.66279984;18.34620094
750;ETAD;SPM;Spangdahlem Air Base;49.97269821;6.692500114
751;ETAR;RMS;Ramstein Air Base;49.43690109;7.600279808
753;ETEU;GHF;[Duplicate] Giebelstadt Army Air Field;49.64810181;9.966489792
755;ETHC;ZCN;Celle Airport;52.59120178;10.02210045
757;ETHF;FRZ;Fritzlar Airport;51.1146;9.286
764;ETID;ZNF;Hanau Army Air Field;50.169201;8.96159
766;ETIN;KZG;Flugplatz Kitzingen;49.743099;10.2006
767;ETMN;FCN;Nordholz Naval Airbase;53.7677002;8.658499718
769;ETNG;GKE;Geilenkirchen Air Base;50.9608;6.04242
772;ETNL;RLG;Rostock-Laage Airport;53.91820145;12.27830029
774;ETNS;WBG;Schleswig Air Base;54.459301;9.51633
780;ETOU;WIE;Wiesbaden Army Airfield;50.04980087;8.325400352
